country,code,year,co2
Spain,ESP,1830,3664.0
Spain,ESP,1831,3664.0
Spain,ESP,1832,3664.0
Spain,ESP,1833,3664.0
Spain,ESP,1834,3664.0
Spain,ESP,1835,3664.0
Spain,ESP,1836,21984.0
Spain,ESP,1837,36640.0
Spain,ESP,1838,25648.0
Spain,ESP,1839,47632.0
Spain,ESP,1840,36640.0
Spain,ESP,1841,102592.0
Spain,ESP,1842,142896.0
Spain,ESP,1843,172208.0
Spain,ESP,1844,201520.0
Spain,ESP,1845,274800.0
Spain,ESP,1846,282128.0
Spain,ESP,1847,260144.0
Spain,ESP,1848,293120.0
Spain,ESP,1849,326096.0
Spain,ESP,1850,494640.0
Spain,ESP,1851,509296.0
Spain,ESP,1852,534944.0
Spain,ESP,1853,652192.0
Spain,ESP,1854,549600.0
Spain,ESP,1855,553264.0
Spain,ESP,1856,754784.0
Spain,ESP,1857,850048.0
Spain,ESP,1858,1150496.0
Spain,ESP,1859,1630480.0
Spain,ESP,1860,1930928.0
Spain,ESP,1861,2004208.0
Spain,ESP,1862,2187408.0
Spain,ESP,1863,2432896.0
Spain,ESP,1864,2333968.0
Spain,ESP,1865,2304656.0
Spain,ESP,1866,2290000.0
Spain,ESP,1867,2557472.0
Spain,ESP,1868,2660064.0
Spain,ESP,1869,2638080.0
Spain,ESP,1870,3074096.0
Spain,ESP,1871,2938528.0
Spain,ESP,1872,3260960.0
Spain,ESP,1873,3136384.0
Spain,ESP,1874,3118064.0
Spain,ESP,1875,3290272.0
Spain,ESP,1876,3568736.0
Spain,ESP,1877,3781248.0
Spain,ESP,1878,3755600.0
Spain,ESP,1879,3971776.0
Spain,ESP,1880,4415120.0
Spain,ESP,1881,4931744.0
Spain,ESP,1882,5382416.0
Spain,ESP,1883,5902704.0
Spain,ESP,1884,5869728.0
Spain,ESP,1885,5759808.0
Spain,ESP,1886,6093232.0
Spain,ESP,1887,6140864.0
Spain,ESP,1888,6433984.0
Spain,ESP,1889,6822368.0
Spain,ESP,1890,7338992.0
Spain,ESP,1891,7939888.0
Spain,ESP,1892,8298960.0
Spain,ESP,1893,8119424.0
Spain,ESP,1894,8734976.0
Spain,ESP,1895,8603072.0
Spain,ESP,1896,9302896.0
Spain,ESP,1897,9544720.0
Spain,ESP,1898,9372512.0
Spain,ESP,1899,10625600.0
Spain,ESP,1900,11219168.0
Spain,ESP,1901,11805408.0
Spain,ESP,1902,12336688.0
Spain,ESP,1903,12175472.0
Spain,ESP,1904,12992544.0
Spain,ESP,1905,13571456.0
Spain,ESP,1906,13860912.0
Spain,ESP,1907,14095408.0
Spain,ESP,1908,14784240.0
Spain,ESP,1909,15165296.0
Spain,ESP,1910,14894160.0
Spain,ESP,1911,14729280.0
Spain,ESP,1912,15982368.0
Spain,ESP,1913,17418656.0
Spain,ESP,1914,17301408.0
Spain,ESP,1915,15311856.0
Spain,ESP,1916,17865664.0
Spain,ESP,1917,15850464.0
Spain,ESP,1918,16733488.0
Spain,ESP,1919,15927408.0
Spain,ESP,1920,14055104.0
Spain,ESP,1921,14846528.0
Spain,ESP,1922,14941792.0
Spain,ESP,1923,17213472.0
Spain,ESP,1924,18389616.0
Spain,ESP,1925,19052800.0
Spain,ESP,1926,18378624.0
Spain,ESP,1927,21445392.0
Spain,ESP,1928,21515008.0
Spain,ESP,1929,23977216.0
Spain,ESP,1930,23643792.0
Spain,ESP,1931,22537264.0
Spain,ESP,1932,21181584.0
Spain,ESP,1933,18712048.0
Spain,ESP,1934,20250928.0
Spain,ESP,1935,22460320.0
Spain,ESP,1936,8057136.0
Spain,ESP,1937,5246848.0
Spain,ESP,1938,13223376.0
Spain,ESP,1939,15718560.0
Spain,ESP,1940,21624928.0
Spain,ESP,1941,21515008.0
Spain,ESP,1942,23064880.0
Spain,ESP,1943,23856304.0
Spain,ESP,1944,25798224.0
Spain,ESP,1945,28275088.0
Spain,ESP,1946,28095552.0
Spain,ESP,1947,31180640.0
Spain,ESP,1948,32723184.0
Spain,ESP,1949,35764304.0
Spain,ESP,1950,33045616.0
Spain,ESP,1951,33126224.0
Spain,ESP,1952,37614624.0
Spain,ESP,1953,38944656.0
Spain,ESP,1954,39739744.0
Spain,ESP,1955,40289344.0
Spain,ESP,1956,42352176.0
Spain,ESP,1957,50233440.0
Spain,ESP,1958,55894320.0
Spain,ESP,1959,52078931.31
Spain,ESP,1960,48865573.59
Spain,ESP,1961,53606857.97
Spain,ESP,1962,59975849.82
Spain,ESP,1963,58742903.44
Spain,ESP,1964,64323808.41
Spain,ESP,1965,71020450.44
Spain,ESP,1966,77617014.48
Spain,ESP,1967,86393976.46
Spain,ESP,1968,97017237.85
Spain,ESP,1969,96736940.41
Spain,ESP,1970,116766483.2
Spain,ESP,1971,128458534.2
Spain,ESP,1972,144716211.2
Spain,ESP,1973,154957259.3
Spain,ESP,1974,172665591.5
Spain,ESP,1975,181053492.4
Spain,ESP,1976,197745774.8
Spain,ESP,1977,194828866.9
Spain,ESP,1978,199513615.2
Spain,ESP,1979,202746246.1
Spain,ESP,1980,213911586.2
Spain,ESP,1981,206095823.5
Spain,ESP,1982,208598128.4
Spain,ESP,1983,203434691.2
Spain,ESP,1984,197666793.1
Spain,ESP,1985,199931000.8
Spain,ESP,1986,189112201.4
Spain,ESP,1987,189507602.9
Spain,ESP,1988,197457397.7
Spain,ESP,1989,224884845.3
Spain,ESP,1990,231895048.4
Spain,ESP,1991,241464996.6
Spain,ESP,1992,250326924.4
Spain,ESP,1993,241817825.8
Spain,ESP,1994,254234048.2
Spain,ESP,1995,267832186.9
Spain,ESP,1996,255447995.9
Spain,ESP,1997,268058721.8
Spain,ESP,1998,276635970.8
Spain,ESP,1999,300176561.0
Spain,ESP,2000,311926058.9
Spain,ESP,2001,313891993.7
Spain,ESP,2002,334007115.6
Spain,ESP,2003,337979232.9
Spain,ESP,2004,354285655.6
Spain,ESP,2005,368964132.6
Spain,ESP,2006,360279239.6
Spain,ESP,2007,368133603.0
Spain,ESP,2008,336490118.5
Spain,ESP,2009,297248141.0
Spain,ESP,2010,283877489.7
Spain,ESP,2011,284594749.3
Spain,ESP,2012,279271283.7
Spain,ESP,2013,252682710.7
Spain,ESP,2014,255195739.0
Spain,ESP,2015,271727199.5
Spain,ESP,2016,260985896.0
Spain,ESP,2017,281421987.1
